ProductKey,Product iteam Code,Product Name,Sub Category,Product Color,Product Size,Product Line,Product Category,MOdel NAme
1,AR-5381,Adjustable Race,NULL,NA,NULL,NULL,NULL,NULL
2,BA-8327,Bearing Ball,NULL,NA,NULL,NULL,NULL,NULL
3,BE-2349,BB Ball Bearing,NULL,NA,NULL,NULL,NULL,NULL
4,BE-2908,Headset Ball Bearings,NULL,NA,NULL,NULL,NULL,NULL
5,BL-2036,Blade,NULL,NA,NULL,NULL,NULL,NULL
6,CA-5965,LL Crankarm,NULL,Black,NULL,NULL,NULL,NULL
7,CA-6738,ML Crankarm,NULL,Black,NULL,NULL,NULL,NULL
8,CA-7457,HL Crankarm,NULL,Black,NULL,NULL,NULL,NULL
9,CB-2903,Chainring Bolts,NULL,Silver,NULL,NULL,NULL,NULL
10,CN-6137,Chainring Nut,NULL,Silver,NULL,NULL,NULL,NULL
11,CR-7833,Chainring,NULL,Black,NULL,NULL,NULL,NULL
12,CR-9981,Crown Race,NULL,NA,NULL,NULL,NULL,NULL
13,CS-2812,Chain Stays,NULL,NA,NULL,NULL,NULL,NULL
14,DC-8732,Decal 1,NULL,NA,NULL,NULL,NULL,NULL
15,DC-9824,Decal 2,NULL,NA,NULL,NULL,NULL,NULL
16,DT-2377,Down Tube,NULL,NA,NULL,NULL,NULL,NULL
17,EC-M092,Mountain End Caps,NULL,NA,NULL,NULL,NULL,NULL
18,EC-R098,Road End Caps,NULL,NA,NULL,NULL,NULL,NULL
19,EC-T209,Touring End Caps,NULL,NA,NULL,NULL,NULL,NULL
20,FE-3760,Fork End,NULL,NA,NULL,NULL,NULL,NULL
21,FH-2981,Freewheel,NULL,Silver,NULL,NULL,NULL,NULL
22,FW-1000,Flat Washer 1,NULL,NA,NULL,NULL,NULL,NULL
23,FW-1200,Flat Washer 6,NULL,NA,NULL,NULL,NULL,NULL
24,FW-1400,Flat Washer 2,NULL,NA,NULL,NULL,NULL,NULL
25,FW-3400,Flat Washer 9,NULL,NA,NULL,NULL,NULL,NULL
26,FW-3800,Flat Washer 4,NULL,NA,NULL,NULL,NULL,NULL
27,FW-5160,Flat Washer 3,NULL,NA,NULL,NULL,NULL,NULL
28,FW-5800,Flat Washer 8,NULL,NA,NULL,NULL,NULL,NULL
29,FW-7160,Flat Washer 5,NULL,NA,NULL,NULL,NULL,NULL
30,FW-9160,Flat Washer 7,NULL,NA,NULL,NULL,NULL,NULL
31,FC-3654,Fork Crown,NULL,NA,NULL,NULL,NULL,NULL
32,FC-3982,Front Derailleur Cage,NULL,Silver,NULL,NULL,NULL,NULL
33,FL-2301,Front Derailleur Linkage,NULL,Silver,NULL,NULL,NULL,NULL
34,GP-0982,Guide Pulley,NULL,NA,NULL,NULL,NULL,NULL
35,GT-0820,LL Grip Tape,NULL,NA,NULL,NULL,NULL,NULL
36,GT-1209,ML Grip Tape,NULL,NA,NULL,NULL,NULL,NULL
37,GT-2908,HL Grip Tape,NULL,NA,NULL,NULL,NULL,NULL
38,HJ-1213,Thin-Jam Hex Nut 9,NULL,NA,NULL,NULL,NULL,NULL
39,HJ-1220,Thin-Jam Hex Nut 10,NULL,NA,NULL,NULL,NULL,NULL
40,HJ-1420,Thin-Jam Hex Nut 1,NULL,NA,NULL,NULL,NULL,NULL
41,HJ-1428,Thin-Jam Hex Nut 2,NULL,NA,NULL,NULL,NULL,NULL
42,HJ-3410,Thin-Jam Hex Nut 15,NULL,NA,NULL,NULL,NULL,NULL
43,HJ-3416,Thin-Jam Hex Nut 16,NULL,NA,NULL,NULL,NULL,NULL
44,HJ-3816,Thin-Jam Hex Nut 5,NULL,NA,NULL,NULL,NULL,NULL
45,HJ-3824,Thin-Jam Hex Nut 6,NULL,NA,NULL,NULL,NULL,NULL
46,HJ-5161,Thin-Jam Hex Nut 3,NULL,NA,NULL,NULL,NULL,NULL
47,HJ-5162,Thin-Jam Hex Nut 4,NULL,NA,NULL,NULL,NULL,NULL
48,HJ-5811,Thin-Jam Hex Nut 13,NULL,NA,NULL,NULL,NULL,NULL
49,HJ-5818,Thin-Jam Hex Nut 14,NULL,NA,NULL,NULL,NULL,NULL
50,HJ-7161,Thin-Jam Hex Nut 7,NULL,NA,NULL,NULL,NULL,NULL
51,HJ-7162,Thin-Jam Hex Nut 8,NULL,NA,NULL,NULL,NULL,NULL
52,HJ-9080,Thin-Jam Hex Nut 12,NULL,NA,NULL,NULL,NULL,NULL
53,HJ-9161,Thin-Jam Hex Nut 11,NULL,NA,NULL,NULL,NULL,NULL
54,HN-1024,Hex Nut 5,NULL,NA,NULL,NULL,NULL,NULL
55,HN-1032,Hex Nut 6,NULL,NA,NULL,NULL,NULL,NULL
56,HN-1213,Hex Nut 16,NULL,NA,NULL,NULL,NULL,NULL
57,HN-1220,Hex Nut 17,NULL,NA,NULL,NULL,NULL,NULL
58,HN-1224,Hex Nut 7,NULL,NA,NULL,NULL,NULL,NULL
59,HN-1420,Hex Nut 8,NULL,NA,NULL,NULL,NULL,NULL
60,HN-1428,Hex Nut 9,NULL,NA,NULL,NULL,NULL,NULL
61,HN-3410,Hex Nut 22,NULL,NA,NULL,NULL,NULL,NULL
62,HN-3416,Hex Nut 23,NULL,NA,NULL,NULL,NULL,NULL
63,HN-3816,Hex Nut 12,NULL,NA,NULL,NULL,NULL,NULL
64,HN-3824,Hex Nut 13,NULL,NA,NULL,NULL,NULL,NULL
65,HN-4402,Hex Nut 1,NULL,NA,NULL,NULL,NULL,NULL
66,HN-5161,Hex Nut 10,NULL,NA,NULL,NULL,NULL,NULL
67,HN-5162,Hex Nut 11,NULL,NA,NULL,NULL,NULL,NULL
68,HN-5400,Hex Nut 2,NULL,NA,NULL,NULL,NULL,NULL
69,HN-5811,Hex Nut 20,NULL,NA,NULL,NULL,NULL,NULL
70,HN-5818,Hex Nut 21,NULL,NA,NULL,NULL,NULL,NULL
71,HN-6320,Hex Nut 3,NULL,NA,NULL,NULL,NULL,NULL
72,HN-7161,Hex Nut 14,NULL,NA,NULL,NULL,NULL,NULL
73,HN-7162,Hex Nut 15,NULL,NA,NULL,NULL,NULL,NULL
74,HN-8320,Hex Nut 4,NULL,NA,NULL,NULL,NULL,NULL
75,HN-9161,Hex Nut 18,NULL,NA,NULL,NULL,NULL,NULL
76,HN-9168,Hex Nut 19,NULL,NA,NULL,NULL,NULL,NULL
77,HT-2981,Handlebar Tube,NULL,NA,NULL,NULL,NULL,NULL
78,HT-8019,Head Tube,NULL,NA,NULL,NULL,NULL,NULL
79,HU-6280,LL Hub,NULL,NA,NULL,NULL,NULL,NULL
80,HU-8998,HL Hub,NULL,NA,NULL,NULL,NULL,NULL
81,KW-4091,Keyed Washer,NULL,NA,NULL,NULL,NULL,NULL
82,LE-1000,External Lock Washer 3,NULL,NA,NULL,NULL,NULL,NULL
83,LE-1200,External Lock Washer 4,NULL,NA,NULL,NULL,NULL,NULL
84,LE-1201,External Lock Washer 9,NULL,NA,NULL,NULL,NULL,NULL
85,LE-1400,External Lock Washer 5,NULL,NA,NULL,NULL,NULL,NULL
86,LE-3800,External Lock Washer 7,NULL,NA,NULL,NULL,NULL,NULL
87,LE-5160,External Lock Washer 6,NULL,NA,NULL,NULL,NULL,NULL
88,LE-6000,External Lock Washer 1,NULL,NA,NULL,NULL,NULL,NULL
89,LE-7160,External Lock Washer 8,NULL,NA,NULL,NULL,NULL,NULL
90,LE-8000,External Lock Washer 2,NULL,NA,NULL,NULL,NULL,NULL
91,LI-1000,Internal Lock Washer 3,NULL,NA,NULL,NULL,NULL,NULL
92,LI-1200,Internal Lock Washer 4,NULL,NA,NULL,NULL,NULL,NULL
93,LI-1201,Internal Lock Washer 9,NULL,NA,NULL,NULL,NULL,NULL
94,LI-1400,Internal Lock Washer 5,NULL,NA,NULL,NULL,NULL,NULL
95,LI-3800,Internal Lock Washer 7,NULL,NA,NULL,NULL,NULL,NULL
96,LI-5160,Internal Lock Washer 6,NULL,NA,NULL,NULL,NULL,NULL
97,LI-5800,Internal Lock Washer 10,NULL,NA,NULL,NULL,NULL,NULL
98,LI-6000,Internal Lock Washer 1,NULL,NA,NULL,NULL,NULL,NULL
99,LI-7160,Internal Lock Washer 8,NULL,NA,NULL,NULL,NULL,NULL
100,LI-8000,Internal Lock Washer 2,NULL,NA,NULL,NULL,NULL,NULL
101,LJ-1213,Thin-Jam Lock Nut 9,NULL,NA,NULL,NULL,NULL,NULL
102,LJ-1220,Thin-Jam Lock Nut 10,NULL,NA,NULL,NULL,NULL,NULL
103,LJ-1420,Thin-Jam Lock Nut 1,NULL,NA,NULL,NULL,NULL,NULL
104,LJ-1428,Thin-Jam Lock Nut 2,NULL,NA,NULL,NULL,NULL,NULL
105,LJ-3410,Thin-Jam Lock Nut 15,NULL,NA,NULL,NULL,NULL,NULL
106,LJ-3416,Thin-Jam Lock Nut 16,NULL,NA,NULL,NULL,NULL,NULL
107,LJ-3816,Thin-Jam Lock Nut 5,NULL,NA,NULL,NULL,NULL,NULL
108,LJ-3824,Thin-Jam Lock Nut 6,NULL,NA,NULL,NULL,NULL,NULL
109,LJ-5161,Thin-Jam Lock Nut 3,NULL,NA,NULL,NULL,NULL,NULL
110,LJ-5162,Thin-Jam Lock Nut 4,NULL,NA,NULL,NULL,NULL,NULL
111,LJ-5811,Thin-Jam Lock Nut 13,NULL,NA,NULL,NULL,NULL,NULL
112,LJ-5818,Thin-Jam Lock Nut 14,NULL,NA,NULL,NULL,NULL,NULL
113,LJ-7161,Thin-Jam Lock Nut 7,NULL,NA,NULL,NULL,NULL,NULL
114,LJ-7162,Thin-Jam Lock Nut 8,NULL,NA,NULL,NULL,NULL,NULL
115,LJ-9080,Thin-Jam Lock Nut 12,NULL,NA,NULL,NULL,NULL,NULL
116,LJ-9161,Thin-Jam Lock Nut 11,NULL,NA,NULL,NULL,NULL,NULL
117,LN-1024,Lock Nut 5,NULL,NA,NULL,NULL,NULL,NULL
118,LN-1032,Lock Nut 6,NULL,NA,NULL,NULL,NULL,NULL
119,LN-1213,Lock Nut 16,NULL,NA,NULL,NULL,NULL,NULL
120,LN-1220,Lock Nut 17,NULL,NA,NULL,NULL,NULL,NULL
121,LN-1224,Lock Nut 7,NULL,NA,NULL,NULL,NULL,NULL
122,LN-1420,Lock Nut 8,NULL,NA,NULL,NULL,NULL,NULL
123,LN-1428,Lock Nut 9,NULL,NA,NULL,NULL,NULL,NULL
124,LN-3410,Lock Nut 22,NULL,NA,NULL,NULL,NULL,NULL
125,LN-3416,Lock Nut 23,NULL,NA,NULL,NULL,NULL,NULL
126,LN-3816,Lock Nut 12,NULL,NA,NULL,NULL,NULL,NULL
127,LN-3824,Lock Nut 13,NULL,NA,NULL,NULL,NULL,NULL
128,LN-4400,Lock Nut 1,NULL,NA,NULL,NULL,NULL,NULL
129,LN-5161,Lock Nut 10,NULL,NA,NULL,NULL,NULL,NULL
130,LN-5162,Lock Nut 11,NULL,NA,NULL,NULL,NULL,NULL
